"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"52 anos";"217912";"101485";"116427";"90680";"40608";"50072";"36817";"17544";"19273";"269";"110";"159";"89909";"43122";"46787";"228";"99";"129"
"Rio de Janeiro";"53 anos";"202368";"93514";"108854";"85196";"37989";"47207";"33687";"15713";"17974";"277";"121";"156";"82955";"39589";"43366";"245";"97";"148"
"Rio de Janeiro";"54 anos";"195178";"89874";"105304";"83095";"36767";"46328";"31814";"14894";"16920";"261";"139";"122";"79771";"37977";"41794";"234";"95";"139"
"Rio de Janeiro";"55 a 59 anos";"1010375";"461606";"548769";"447345";"198876";"248469";"159189";"72801";"86388";"1271";"606";"665";"401425";"188832";"212593";"1109";"471";"638"
"Rio de Janeiro";"55 anos";"204294";"94123";"110171";"88144";"39262";"48882";"32658";"15225";"17433";"247";"120";"127";"83035";"39431";"43604";"200";"79";"121"
"Rio de Janeiro";"56 anos";"203817";"93701";"110116";"89144";"39871";"49273";"32616";"15040";"17576";"296";"137";"159";"81522";"38548";"42974";"232";"100";"132"
"Rio de Janeiro";"57 anos";"201506";"91963";"109543";"89472";"39726";"49746";"31812";"14510";"17302";"250";"116";"134";"79716";"37497";"42219";"248";"109";"139"
"Rio de Janeiro";"58 anos";"207114";"94327";"112787";"92704";"41237";"51467";"32121";"14610";"17511";"250";"130";"120";"81814";"38263";"43551";"220";"86";"134"
"Rio de Janeiro";"59 anos";"193644";"87492";"106152";"87881";"38780";"49101";"29982";"13416";"16566";"228";"103";"125";"75338";"35093";"40245";"209";"97";"112"
"Rio de Janeiro";"60 a 64 anos";"922438";"412587";"509851";"420757";"183897";"236860";"141684";"62531";"79153";"1093";"498";"595";"357808";"165210";"192598";"1067";"439";"628"
"Rio de Janeiro";"60 anos";"208790";"94828";"113962";"93261";"41278";"51983";"32535";"14668";"17867";"264";"126";"138";"82473";"38655";"43818";"249";"98";"151"
"Rio de Janeiro";"61 anos";"178551";"79924";"98627";"82069";"36005";"46064";"27144";"12112";"15032";"202";"80";"122";"68952";"31647";"37305";"181";"78";"103"
"Rio de Janeiro";"62 anos";"190648";"85254";"105394";"86832";"37958";"48874";"29406";"12930";"16476";"192";"96";"96";"73996";"34172";"39824";"213";"93";"120"
"Rio de Janeiro";"63 anos";"177052";"78695";"98357";"80862";"35170";"45692";"27251";"11839";"15412";"217";"85";"132";"68496";"31501";"36995";"221";"100";"121"
"Rio de Janeiro";"64 anos";"167397";"73886";"93511";"77733";"33486";"44247";"25348";"10982";"14366";"218";"111";"107";"63891";"29235";"34656";"203";"70";"133"
"Rio de Janeiro";"65 a 69 anos";"755817";"327730";"428087";"359530";"152602";"206928";"113779";"48112";"65667";"1018";"461";"557";"280499";"126182";"154317";"972";"368";"604"
